id,type,health,energy,score,age,alive,max_energy,mate_id,pregnant,is_pregnant,last_pregnant_age,mating_cooldown,mating_cooldown_max,good_choice_chance,children,birth_tick,death_tick,sight_range,smell_range,gene_avg,gene_cap,gene_min,gene_stability,speed,agility,intelligence,endurance,strength,fertility,bite_size,ticks
14,ObjectType.EVIL,28.608000000000004,19.635004166666675,12.259147877898407,76,True,100.0,-1,-1.0,False,-100,0,5,0.515625,0,103,-1,5,3,4,10,1,1.625,2.625,6.625,6.875,5.0,5.625,1.25,4.0,179
4,ObjectType.EVIL,27.911,2.4215686274509527,120.70564136705879,179,True,100.0,-1,6.6,True,203,0,5,0.44999999999999996,1,0,-1,5,3,4,10,1,4.0,2.0,6.0,6.0,5.0,6.0,1.0,5.0,179
5,ObjectType.EVIL,69.88599999999997,11.082352941176492,505.2748527174163,179,True,100.0,-1,-1.0,False,258,0,5,0.30000000000000004,1,0,-1,5,3,4,10,1,5.0,4.0,4.0,4.0,4.0,3.0,2.0,8.0,179
17,ObjectType.EVIL,60.875,34.84117647058822,14.063607599999997,21,True,100.0,-1,-1.0,False,-100,0,5,0.3375,0,158,-1,5,3,4,10,1,4.0,4.0,4.0,4.5,2.0,4.0,1.0,6.5,179
15,ObjectType.EVIL,85.39719999999998,0.08005490196078657,11.003932872056982,73,True,100.0,-1,-1.0,False,-100,0,5,0.30000000000000004,0,106,-1,5,3,4,10,1,3.357,1.0,1.0,4.0,2.0,3.357,3.357,5.071,179
8,ObjectType.NEUTRAL,4.400000000000006,-5.0,25.204162352941186,33,False,45.0,-1,-1.0,False,132,0,5,0.30000000000000004,1,0,32,5,3,4,10,1,4.0,3.0,3.0,4.0,6.0,5.0,3.0,5.0,179
0,ObjectType.NEUTRAL,94.10000000000001,-0.7294117647058838,7.737277647058823,34,False,50.0,-1,11.0,True,-100,0,5,0.15000000000000002,0,0,33,5,3,4,10,1,6.0,2.0,3.0,2.0,3.0,5.0,7.0,5.0,179
7,ObjectType.NEUTRAL,29.699999999999967,-20.878431372549013,105.72829858823529,60,False,55.00000000000001,-1,-1.0,False,159,0,5,0.22499999999999998,1,0,60,5,3,4,10,1,1.0,5.0,2.0,3.0,7.0,6.0,1.0,2.0,179
9,ObjectType.NEUTRAL,-2.0000000000000107,6.5000000000000036,51.596720627450956,74,False,45.0,-1,-1.0,False,-100,3,5,0.375,0,0,75,5,3,4,10,1,5.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,179
6,ObjectType.NEUTRAL,-0.10699999999999976,0.7018235294117687,56.978273235294125,85,False,45.0,-1,30.0,True,-100,0,5,0.375,0,0,86,5,3,4,10,1,3.0,3.0,5.0,5.0,5.0,3.0,1.0,9.0,179
12,ObjectType.NEUTRAL,-4.296090000000054,7.268627450980386,56.63690714000001,40,False,36.99999999999999,-1,-1.0,False,-100,0,5,0.4800000000000004,0,59,100,5,3,4,10,1,0.8999999999999988,1.3999999999999986,4.400000000000006,6.400000000000006,7.900000000000006,3.400000000000003,1.8999999999999986,3.400000000000003,179
1,ObjectType.EVIL,79.95,-23.959670588235312,93.64621426046116,107,False,100.0,-1,-1.0,False,206,0,5,0.30000000000000004,2,0,106,5,3,4,10,1,7.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,179
3,ObjectType.EVIL,74.5,-14.533333333333374,54.64627231372547,111,False,100.0,-1,-1.0,False,210,0,5,0.22499999999999998,1,0,110,5,3,4,10,1,6.0,3.0,4.0,3.0,6.0,4.0,3.0,4.0,179
11,ObjectType.EVIL,56.8,0.41227450980393865,12.25477611293687,101,False,100.0,-1,-1.0,False,-100,5,5,0.26249999999999996,0,45,145,5,3,4,10,1,7.5,1.0,2.5,3.5,6.0,2.0,3.5,5.5,179
10,ObjectType.NEUTRAL,-2.4650000000000114,3.782352941176466,166.4633153301961,130,False,57.49999999999999,-1,-1.0,False,-100,0,5,0.31875,0,32,162,5,3,4,10,1,2.0,3.25,3.0,4.25,6.0,4.625,2.625,3.0,179
16,ObjectType.EVIL,98.33000000000001,-3.4180078431373353,-8.253003694230413,56,False,100.0,-1,-1.0,False,-100,0,5,0.18127499999999996,0,110,165,5,3,4,10,1,5.0,2.417,1.833,2.417,5.833,4.417,1.0,4.417,179
13,ObjectType.EVIL,70.13686249999998,-1.5710827450980194,29.209450982343995,104,False,100.0,-1,-1.0,False,-100,0,5,0.25177499999999997,0,67,170,5,3,4,10,1,5.357,2.0,4.071,3.357,2.071,3.0,1.357,4.357,179
2,ObjectType.EVIL,63.17619999999998,-1.698039215686242,161.1871975354942,177,False,100.0,-1,-0.849019607843121,False,145,0,5,0.30000000000000004,1,0,176,5,3,4,10,1,5.0,2.0,2.0,4.0,7.0,5.0,3.0,6.0,179
